Comunidades autónomas;Tipología penal;Periodos:;Total
PAÍS VASCO;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;1.406
PAÍS VASCO;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;1.549
PAÍS VASCO;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;10,2
PAÍS VASCO;4. Secuestro;enero-septiembre 2024;2
PAÍS VASCO;4. Secuestro;enero-septiembre 2025;4
PAÍS VASCO;4. Secuestro;Variación % 2025/2024;100,0
PAÍS VASCO;5. Delitos contra la libertad sexual;enero-septiembre 2024;770
PAÍS VASCO;5. Delitos contra la libertad sexual;enero-septiembre 2025;818
PAÍS VASCO;5. Delitos contra la libertad sexual;Variación % 2025/2024;6,2
PAÍS VASCO;5.1.-Agresión sexual con penetración;enero-septiembre 2024;231
PAÍS VASCO;5.1.-Agresión sexual con penetración;enero-septiembre 2025;245
PAÍS VASCO;5.1.-Agresión sexual con penetración;Variación % 2025/2024;6,1
PAÍS VASCO;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;539
PAÍS VASCO;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;573
PAÍS VASCO;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;6,3
PAÍS VASCO;6. Robos con violencia e intimidación;enero-septiembre 2024;1.658
PAÍS VASCO;6. Robos con violencia e intimidación;enero-septiembre 2025;1.608
PAÍS VASCO;6. Robos con violencia e intimidación;Variación % 2025/2024;-3,0
PAÍS VASCO;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;4.355
PAÍS VASCO;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;4.411
PAÍS VASCO;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;1,3
PAÍS VASCO;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;2.867
PAÍS VASCO;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;3.201
PAÍS VASCO;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;11,6
PAÍS VASCO;8. Hurtos;enero-septiembre 2024;23.197
PAÍS VASCO;8. Hurtos;enero-septiembre 2025;23.059
PAÍS VASCO;8. Hurtos;Variación % 2025/2024;-0,6
PAÍS VASCO;9. Sustracciones de vehículos;enero-septiembre 2024;514
PAÍS VASCO;9. Sustracciones de vehículos;enero-septiembre 2025;558
PAÍS VASCO;9. Sustracciones de vehículos;Variación % 2025/2024;8,6
PAÍS VASCO;10. Tráfico de drogas;enero-septiembre 2024;684
PAÍS VASCO;10. Tráfico de drogas;enero-septiembre 2025;604
PAÍS VASCO;10. Tráfico de drogas;Variación % 2025/2024;-11,7
PAÍS VASCO;11. Resto de criminalidad convencional;enero-septiembre 2024;29.114
PAÍS VASCO;11. Resto de criminalidad convencional;enero-septiembre 2025;29.418
PAÍS VASCO;11. Resto de criminalidad convencional;Variación % 2025/2024;1,0
PAÍS VASCO;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;19.461
PAÍS VASCO;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;20.171
PAÍS VASCO;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;3,6
PAÍS VASCO;12.-Estafas informáticas;enero-septiembre 2024;17.443
PAÍS VASCO;12.-Estafas informáticas;enero-septiembre 2025;17.722
PAÍS VASCO;12.-Estafas informáticas;Variación % 2025/2024;1,6
PAÍS VASCO;13.-Otros ciberdelitos;enero-septiembre 2024;2.018
PAÍS VASCO;13.-Otros ciberdelitos;enero-septiembre 2025;2.449
PAÍS VASCO;13.-Otros ciberdelitos;Variación % 2025/2024;21,4
PAÍS VASCO;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;81.225
PAÍS VASCO;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;82.242
PAÍS VASCO;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;1,3
RIOJA (LA);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;7.315
RIOJA (LA);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;6.844
RIOJA (LA);I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-6,4
RIOJA (LA);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;3
RIOJA (LA);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;3
RIOJA (LA);1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;0,0
RIOJA (LA);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;9
RIOJA (LA);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;4
RIOJA (LA);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-55,6
RIOJA (LA);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;189
RIOJA (LA);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;187
RIOJA (LA);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;-1,1
RIOJA (LA);4. Secuestro;enero-septiembre 2024;0
RIOJA (LA);4. Secuestro;enero-septiembre 2025;0
RIOJA (LA);4. Secuestro;Variación % 2025/2024;0,0
RIOJA (LA);5. Delitos contra la libertad sexual;enero-septiembre 2024;88
RIOJA (LA);5. Delitos contra la libertad sexual;enero-septiembre 2025;82
RIOJA (LA);5. Delitos contra la libertad sexual;Variación % 2025/2024;-6,8
RIOJA (LA);5.1.-Agresión sexual con penetración;enero-septiembre 2024;12
RIOJA (LA);5.1.-Agresión sexual con penetración;enero-septiembre 2025;9
RIOJA (LA);5.1.-Agresión sexual con penetración;Variación % 2025/2024;-25,0
RIOJA (LA);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;76
RIOJA (LA);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;73
RIOJA (LA);5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-3,9
RIOJA (LA);6. Robos con violencia e intimidación;enero-septiembre 2024;85
RIOJA (LA);6. Robos con violencia e intimidación;enero-septiembre 2025;96
RIOJA (LA);6. Robos con violencia e intimidación;Variación % 2025/2024;12,9
RIOJA (LA);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;570
RIOJA (LA);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;459
RIOJA (LA);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-19,5
RIOJA (LA);7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;449
RIOJA (LA);7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;383
RIOJA (LA);7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-14,7
RIOJA (LA);8. Hurtos;enero-septiembre 2024;2.063
RIOJA (LA);8. Hurtos;enero-septiembre 2025;1.832
RIOJA (LA);8. Hurtos;Variación % 2025/2024;-11,2
RIOJA (LA);9. Sustracciones de vehículos;enero-septiembre 2024;52
RIOJA (LA);9. Sustracciones de vehículos;enero-septiembre 2025;61
RIOJA (LA);9. Sustracciones de vehículos;Variación % 2025/2024;17,3
RIOJA (LA);10. Tráfico de drogas;enero-septiembre 2024;50
RIOJA (LA);10. Tráfico de drogas;enero-septiembre 2025;87
RIOJA (LA);10. Tráfico de drogas;Variación % 2025/2024;74,0
RIOJA (LA);11. Resto de criminalidad convencional;enero-septiembre 2024;4.206
RIOJA (LA);11. Resto de criminalidad convencional;enero-septiembre 2025;4.033
RIOJA (LA);11. Resto de criminalidad convencional;Variación % 2025/2024;-4,1
RIOJA (LA);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;1.710
RIOJA (LA);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;2.175
RIOJA (LA);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;27,2
RIOJA (LA);12.-Estafas informáticas;enero-septiembre 2024;1.367
RIOJA (LA);12.-Estafas informáticas;enero-septiembre 2025;1.802
RIOJA (LA);12.-Estafas informáticas;Variación % 2025/2024;31,8
RIOJA (LA);13.-Otros ciberdelitos;enero-septiembre 2024;343
RIOJA (LA);13.-Otros ciberdelitos;enero-septiembre 2025;373
RIOJA (LA);13.-Otros ciberdelitos;Variación % 2025/2024;8,7
RIOJA (LA);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;9.025
RIOJA (LA);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;9.019
RIOJA (LA);III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-0,1
CIUDAD AUTÓNOMA DE CEUTA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;2.161
CIUDAD AUTÓNOMA DE CEUTA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;2.225
CIUDAD AUTÓNOMA DE CEUTA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;3,0
CIUDAD AUTÓNOMA DE CEUTA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
CIUDAD AUTÓNOMA DE CEUTA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;0
CIUDAD AUTÓNOMA DE CEUTA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;0,0
CIUDAD AUTÓNOMA DE CEUTA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;7
CIUDAD AUTÓNOMA DE CEUTA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;11
CIUDAD AUTÓNOMA DE CEUTA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;57,1
CIUDAD AUTÓNOMA DE CEUTA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;53
CIUDAD AUTÓNOMA DE CEUTA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;64
CIUDAD AUTÓNOMA DE CEUTA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;20,8
CIUDAD AUTÓNOMA DE CEUTA;4. Secuestro;enero-septiembre 2024;0
CIUDAD AUTÓNOMA DE CEUTA;4. Secuestro;enero-septiembre 2025;1
CIUDAD AUTÓNOMA DE CEUTA;4. Secuestro;Variación % 2025/2024;100,0
CIUDAD AUTÓNOMA DE CEUTA;5. Delitos contra la libertad sexual;enero-septiembre 2024;41
CIUDAD AUTÓNOMA DE CEUTA;5. Delitos contra la libertad sexual;enero-septiembre 2025;42
CIUDAD AUTÓNOMA DE CEUTA;5. Delitos contra la libertad sexual;Variación % 2025/2024;2,4
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;5
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;8
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;60,0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;36
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;34
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-5,6
CIUDAD AUTÓNOMA DE CEUTA;6. Robos con violencia e intimidación;enero-septiembre 2024;85
CIUDAD AUTÓNOMA DE CEUTA;6. Robos con violencia e intimidación;enero-septiembre 2025;73
CIUDAD AUTÓNOMA DE CEUTA;6. Robos con violencia e intimidación;Variación % 2025/2024;-14,1
CIUDAD AUTÓNOMA DE CEUTA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;23
CIUDAD AUTÓNOMA DE CEUTA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;25
CIUDAD AUTÓNOMA DE CEUTA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;8,7
CIUDAD AUTÓNOMA DE CEUTA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;18
CIUDAD AUTÓNOMA DE CEUTA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;16
CIUDAD AUTÓNOMA DE CEUTA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-11,1
CIUDAD AUTÓNOMA DE CEUTA;8. Hurtos;enero-septiembre 2024;398
CIUDAD AUTÓNOMA DE CEUTA;8. Hurtos;enero-septiembre 2025;252
CIUDAD AUTÓNOMA DE CEUTA;8. Hurtos;Variación % 2025/2024;-36,7
CIUDAD AUTÓNOMA DE CEUTA;9. Sustracciones de vehículos;enero-septiembre 2024;79
CIUDAD AUTÓNOMA DE CEUTA;9. Sustracciones de vehículos;enero-septiembre 2025;80
CIUDAD AUTÓNOMA DE CEUTA;9. Sustracciones de vehículos;Variación % 2025/2024;1,3
CIUDAD AUTÓNOMA DE CEUTA;10. Tráfico de drogas;enero-septiembre 2024;74
CIUDAD AUTÓNOMA DE CEUTA;10. Tráfico de drogas;enero-septiembre 2025;166
CIUDAD AUTÓNOMA DE CEUTA;10. Tráfico de drogas;Variación % 2025/2024;124,3
CIUDAD AUTÓNOMA DE CEUTA;11. Resto de criminalidad convencional;enero-septiembre 2024;1.401
CIUDAD AUTÓNOMA DE CEUTA;11. Resto de criminalidad convencional;enero-septiembre 2025;1.511
CIUDAD AUTÓNOMA DE CEUTA;11. Resto de criminalidad convencional;Variación % 2025/2024;7,9
CIUDAD AUTÓNOMA DE CEUTA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;427
CIUDAD AUTÓNOMA DE CEUTA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;483
CIUDAD AUTÓNOMA DE CEUTA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;13,1
CIUDAD AUTÓNOMA DE CEUTA;12.-Estafas informáticas;enero-septiembre 2024;363
CIUDAD AUTÓNOMA DE CEUTA;12.-Estafas informáticas;enero-septiembre 2025;388
CIUDAD AUTÓNOMA DE CEUTA;12.-Estafas informáticas;Variación % 2025/2024;6,9
CIUDAD AUTÓNOMA DE CEUTA;13.-Otros ciberdelitos;enero-septiembre 2024;64
CIUDAD AUTÓNOMA DE CEUTA;13.-Otros ciberdelitos;enero-septiembre 2025;95
CIUDAD AUTÓNOMA DE CEUTA;13.-Otros ciberdelitos;Variación % 2025/2024;48,4
CIUDAD AUTÓNOMA DE CEUTA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;2.588
CIUDAD AUTÓNOMA DE CEUTA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;2.708
CIUDAD AUTÓNOMA DE CEUTA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;4,6
CIUDAD AUTÓNOMA DE MELILLA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;2.806
CIUDAD AUTÓNOMA DE MELILLA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;2.814
CIUDAD AUTÓNOMA DE MELILLA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;0,3
CIUDAD AUTÓNOMA DE MELILLA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
CIUDAD AUTÓNOMA DE MELILLA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;0
CIUDAD AUTÓNOMA DE MELILLA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;0,0
CIUDAD AUTÓNOMA DE MELILLA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;1
CIUDAD AUTÓNOMA DE MELILLA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;2
CIUDAD AUTÓNOMA DE MELILLA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;100,0
CIUDAD AUTÓNOMA DE MELILLA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;76
CIUDAD AUTÓNOMA DE MELILLA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;58
CIUDAD AUTÓNOMA DE MELILLA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;-23,7
CIUDAD AUTÓNOMA DE MELILLA;4. Secuestro;enero-septiembre 2024;1
CIUDAD AUTÓNOMA DE MELILLA;4. Secuestro;enero-septiembre 2025;0
CIUDAD AUTÓNOMA DE MELILLA;4. Secuestro;Variación % 2025/2024;-100,0
CIUDAD AUTÓNOMA DE MELILLA;5. Delitos contra la libertad sexual;enero-septiembre 2024;27
CIUDAD AUTÓNOMA DE MELILLA;5. Delitos contra la libertad sexual;enero-septiembre 2025;25
CIUDAD AUTÓNOMA DE MELILLA;5. Delitos contra la libertad sexual;Variación % 2025/2024;-7,4
CIUDAD AUTÓNOMA DE MELILLA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;7
CIUDAD AUTÓNOMA DE MELILLA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;7
CIUDAD AUTÓNOMA DE MELILLA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;0,0
CIUDAD AUTÓNOMA DE MELILLA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;20
CIUDAD AUTÓNOMA DE MELILLA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;18
CIUDAD AUTÓNOMA DE MELILLA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-10,0
CIUDAD AUTÓNOMA DE MELILLA;6. Robos con violencia e intimidación;enero-septiembre 2024;75
CIUDAD AUTÓNOMA DE MELILLA;6. Robos con violencia e intimidación;enero-septiembre 2025;83
CIUDAD AUTÓNOMA DE MELILLA;6. Robos con violencia e intimidación;Variación % 2025/2024;10,7
CIUDAD AUTÓNOMA DE MELILLA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;60
CIUDAD AUTÓNOMA DE MELILLA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;52
CIUDAD AUTÓNOMA DE MELILLA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-13,3
CIUDAD AUTÓNOMA DE MELILLA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;27
CIUDAD AUTÓNOMA DE MELILLA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;26
CIUDAD AUTÓNOMA DE MELILLA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-3,7
CIUDAD AUTÓNOMA DE MELILLA;8. Hurtos;enero-septiembre 2024;502
CIUDAD AUTÓNOMA DE MELILLA;8. Hurtos;enero-septiembre 2025;485
CIUDAD AUTÓNOMA DE MELILLA;8. Hurtos;Variación % 2025/2024;-3,4
CIUDAD AUTÓNOMA DE MELILLA;9. Sustracciones de vehículos;enero-septiembre 2024;41
CIUDAD AUTÓNOMA DE MELILLA;9. Sustracciones de vehículos;enero-septiembre 2025;31
CIUDAD AUTÓNOMA DE MELILLA;9. Sustracciones de vehículos;Variación % 2025/2024;-24,4
CIUDAD AUTÓNOMA DE MELILLA;10. Tráfico de drogas;enero-septiembre 2024;29
CIUDAD AUTÓNOMA DE MELILLA;10. Tráfico de drogas;enero-septiembre 2025;70
CIUDAD AUTÓNOMA DE MELILLA;10. Tráfico de drogas;Variación % 2025/2024;141,4
CIUDAD AUTÓNOMA DE MELILLA;11. Resto de criminalidad convencional;enero-septiembre 2024;1.994
CIUDAD AUTÓNOMA DE MELILLA;11. Resto de criminalidad convencional;enero-septiembre 2025;2.008
CIUDAD AUTÓNOMA DE MELILLA;11. Resto de criminalidad convencional;Variación % 2025/2024;0,7
CIUDAD AUTÓNOMA DE MELILLA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;392
CIUDAD AUTÓNOMA DE MELILLA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;446
CIUDAD AUTÓNOMA DE MELILLA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;13,8
CIUDAD AUTÓNOMA DE MELILLA;12.-Estafas informáticas;enero-septiembre 2024;330
CIUDAD AUTÓNOMA DE MELILLA;12.-Estafas informáticas;enero-septiembre 2025;355
CIUDAD AUTÓNOMA DE MELILLA;12.-Estafas informáticas;Variación % 2025/2024;7,6
CIUDAD AUTÓNOMA DE MELILLA;13.-Otros ciberdelitos;enero-septiembre 2024;62
CIUDAD AUTÓNOMA DE MELILLA;13.-Otros ciberdelitos;enero-septiembre 2025;91
CIUDAD AUTÓNOMA DE MELILLA;13.-Otros ciberdelitos;Variación % 2025/2024;46,8
CIUDAD AUTÓNOMA DE MELILLA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;3.198
CIUDAD AUTÓNOMA DE MELILLA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;3.260
CIUDAD AUTÓNOMA DE MELILLA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;1,9
EN EL EXTRANJERO;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;3.887
EN EL EXTRANJERO;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;3.782
EN EL EXTRANJERO;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-2,7
EN EL EXTRANJERO;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
EN EL EXTRANJERO;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;0
EN EL EXTRANJERO;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;0,0
EN EL EXTRANJERO;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;0
EN EL EXTRANJERO;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;0
EN EL EXTRANJERO;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;0,0
EN EL EXTRANJERO;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;6
EN EL EXTRANJERO;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;15
EN EL EXTRANJERO;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;150,0
EN EL EXTRANJERO;4. Secuestro;enero-septiembre 2024;8
EN EL EXTRANJERO;4. Secuestro;enero-septiembre 2025;4
EN EL EXTRANJERO;4. Secuestro;Variación % 2025/2024;-50,0
EN EL EXTRANJERO;5. Delitos contra la libertad sexual;enero-septiembre 2024;65
EN EL EXTRANJERO;5. Delitos contra la libertad sexual;enero-septiembre 2025;67
EN EL EXTRANJERO;5. Delitos contra la libertad sexual;Variación % 2025/2024;3,1
EN EL EXTRANJERO;5.1.-Agresión sexual con penetración;enero-septiembre 2024;23
EN EL EXTRANJERO;5.1.-Agresión sexual con penetración;enero-septiembre 2025;20
EN EL EXTRANJERO;5.1.-Agresión sexual con penetración;Variación % 2025/2024;-13,0
EN EL EXTRANJERO;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;42
EN EL EXTRANJERO;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;47
EN EL EXTRANJERO;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;11,9
EN EL EXTRANJERO;6. Robos con violencia e intimidación;enero-septiembre 2024;168
EN EL EXTRANJERO;6. Robos con violencia e intimidación;enero-septiembre 2025;129
EN EL EXTRANJERO;6. Robos con violencia e intimidación;Variación % 2025/2024;-23,2
EN EL EXTRANJERO;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;18
EN EL EXTRANJERO;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;20
EN EL EXTRANJERO;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;11,1
EN EL EXTRANJERO;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;12
EN EL EXTRANJERO;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;19
EN EL EXTRANJERO;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;58,3
EN EL EXTRANJERO;8. Hurtos;enero-septiembre 2024;1.912
EN EL EXTRANJERO;8. Hurtos;enero-septiembre 2025;1.750
EN EL EXTRANJERO;8. Hurtos;Variación % 2025/2024;-8,5
EN EL EXTRANJERO;9. Sustracciones de vehículos;enero-septiembre 2024;74
EN EL EXTRANJERO;9. Sustracciones de vehículos;enero-septiembre 2025;89
EN EL EXTRANJERO;9. Sustracciones de vehículos;Variación % 2025/2024;20,3
EN EL EXTRANJERO;10. Tráfico de drogas;enero-septiembre 2024;56
EN EL EXTRANJERO;10. Tráfico de drogas;enero-septiembre 2025;30
EN EL EXTRANJERO;10. Tráfico de drogas;Variación % 2025/2024;-46,4
EN EL EXTRANJERO;11. Resto de criminalidad convencional;enero-septiembre 2024;1.580
EN EL EXTRANJERO;11. Resto de criminalidad convencional;enero-septiembre 2025;1.678
EN EL EXTRANJERO;11. Resto de criminalidad convencional;Variación % 2025/2024;6,2
EN EL EXTRANJERO;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;2.671
EN EL EXTRANJERO;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;2.011
EN EL EXTRANJERO;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;-24,7
EN EL EXTRANJERO;12.-Estafas informáticas;enero-septiembre 2024;2.516
EN EL EXTRANJERO;12.-Estafas informáticas;enero-septiembre 2025;1.888
EN EL EXTRANJERO;12.-Estafas informáticas;Variación % 2025/2024;-25,0
EN EL EXTRANJERO;13.-Otros ciberdelitos;enero-septiembre 2024;155
EN EL EXTRANJERO;13.-Otros ciberdelitos;enero-septiembre 2025;123
EN EL EXTRANJERO;13.-Otros ciberdelitos;Variación % 2025/2024;-20,6
EN EL EXTRANJERO;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;6.558
EN EL EXTRANJERO;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;5.793
EN EL EXTRANJERO;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-11,7
